strategy_version,stop_policy,post_tp1_stop_fib_ratio,asset,timeframe,entry_level,min_distance,min_move,v6_selection_policy,v6_selection_robust_rank,v6_selection_robust_score,number_of_trades,trades_per_year,initial_capital,final_equity,total_return,annualized_return,net_pnl,gross_pnl,profit_factor,expectancy,average_r,median_r,win_rate,average_win,average_loss,sharpe_ratio,sortino_ratio,calmar_ratio,maximum_drawdown,average_holding_duration,fees,slippage,stop_before_tp1_rate,post_tp1_stop_exit_rate,percentage_trades_improved_vs_0880,percentage_trades_worsened_vs_0880,average_incremental_r_vs_0880,comparable_trades_vs_0880,early_return,late_return,tp1_reach_rate,tp2_reach_rate,tp3_reach_rate,tp4_reach_rate,tp5_reach_rate,warnings,stop_neighborhood_penalty,placement_instability_penalty,consistency_penalty,cost_penalty,low_trade_penalty,robust_score,robust_rank
Strategy_V6_5_PostTP1StopPlacement,Fib 0.850,0.85,SOL,4h,0.9,10,0.0025,C,144,0.5084995952585873,138,30.47430471584039,10000.0,17208.2131264769,0.7208213126476901,0.12725325591456071,7208.213126476929,9680.416309567296,1.564738983824582,52.23342845273137,0.20536966463594117,0.4967989362638654,0.7101449275362319,203.79601047726396,-319.0948975073735,1.1159932671622323,0.5000998517657591,0.8210348199677874,-0.15499130221974433,24.579710144927535,2472.203183090368,494.4410436123193,0.2898550724637681,0.6956521739130435,0.6934306569343066,0.0072992700729927005,0.09873787904545465,137,0.6271861688831186,0.05754421070874849,0.7101449275362319,0.18115942028985507,0.07246376811594203,0.028985507246376812,0.014492753623188406,,0.08630163202855277,0.08673511494249277,0.10301925636999797,0.030645833111234172,0.0,0.6111436176479573,34
Strategy_V6_5_PostTP1StopPlacement,Fib 0.830,0.83,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,13415.5329638649,0.34155329638649,0.06703137542968185,3415.5329638649064,4016.119939083599,2.3004025625719065,92.31170172607855,0.4088633101357885,0.6210195978050557,0.7297297297297297,223.779728728175,-262.65197117958184,1.0247518713965627,0.41292141843201613,1.5935168622208016,-0.04206505561306939,44.75675675675676,600.5869752186928,120.11756049322724,0.2702702702702703,0.7027027027027027,0.6756756756756757,0.02702702702702703,0.11142623506879057,37,0.21264009797156969,0.10630788032703054,0.7297297297297297,0.2972972972972973,0.16216216216216217,0.02702702702702703,0.02702702702702703,,0.020191219814670758,0.10330903611738872,0.021186654396695658,0.017945294130741793,0.0,0.593117168725465,35
Strategy_V6_5_PostTP1StopPlacement,Fib 0.850,0.85,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,13246.540018173911,0.3246540018173911,0.06404874129663019,3246.540018173921,3847.51641567345,2.237974614354781,87.74432481551138,0.39210253657931143,0.5101277026986782,0.7297297297297297,217.37040428215093,-262.2460897444154,0.9724248758327552,0.4190803570679303,1.4879027444189368,-0.04304632244067996,54.486486486486484,600.9763974995285,120.19543820836918,0.2702702702702703,0.7027027027027027,0.7027027027027027,0.0,0.09466546151231349,37,0.2240493494109057,0.08219002971971934,0.7297297297297297,0.32432432432432434,0.1891891891891892,0.05405405405405406,0.02702702702702703,,0.01681136090085098,0.08673511494249277,0.028183064465003457,0.018743827388756375,0.0,0.5726457823679854,36
Strategy_V6_5_PostTP1StopPlacement,Fib 0.890,0.89,SOL,1d,0.9,7,0.0025,C,125,0.5360028937917918,45,9.94328493647913,10000.0,13105.294222947572,0.3105294222947572,0.06153299723906125,3105.29422294757,3581.875847261927,2.221002047295384,69.00653828772377,0.31055803269338816,0.29239204592387336,0.7777777777777778,161.3865277270344,-254.32342474986348,0.9293476864607995,0.5383038394083118,1.0862067468763434,-0.05664943383569898,91.73333333333333,476.5816243143579,95.31647195055321,0.2222222222222222,0.7333333333333333,0.022222222222222223,0.7333333333333333,0.023057571750532392,45,0.1549782040257477,0.1346789209760202,0.7777777777777778,0.24444444444444444,0.17777777777777778,0.044444444444444446,0.044444444444444446,,0.023705842831292623,0.07629738617943779,0.004059299065796363,0.01596644106752287,0.0,0.5685445938291309,37
Strategy_V6_5_PostTP1StopPlacement,Fib 0.840,0.84,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,13097.569852764145,0.3097569852764146,0.06139480948346132,3097.569852764143,3690.646564885181,2.1957251400606776,83.71810412876061,0.375971792988834,0.5629699413612651,0.7297297297297297,210.67061288953698,-259.0536695253355,0.9449286630620296,0.38532245877924315,1.4498178449953631,-0.0423465676708219,44.75675675675676,593.0767121210374,118.61549479467955,0.2702702702702703,0.7027027027027027,0.6756756756756757,0.02702702702702703,0.07853471792183596,37,0.19701209586568136,0.0941885965899083,0.7297297297297297,0.2972972972972973,0.16216216216216217,0.02702702702702703,0.02702702702702703,,0.013831957592655673,0.10349156438861375,0.020492530440410984,0.01928367277666585,0.0,0.5403177020297678,38
Strategy_V6_5_PostTP1StopPlacement,Fib 0.860,0.86,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,12944.709776079068,0.29447097760790686,0.058647014922765583,2944.709776079075,3538.5899639349886,2.13766162681737,79.58675070483986,0.3605473827418739,0.4520365472439734,0.7297297297297297,204.92954964408855,-258.8388064311316,0.8979125074844374,0.3969067397233473,1.3406234035685745,-0.04374607721053836,55.78378378378378,593.8801878559137,118.77618386581796,0.2702702702702703,0.7027027027027027,0.7027027027027027,0.0,0.06311030767487602,37,0.20943432448722454,0.07031109618683606,0.7297297297297297,0.32432432432432434,0.1891891891891892,0.05405405405405406,0.02702702702702703,,0.010774756058954126,0.0749930415112275,0.027646506835540485,0.02013955781780499,0.0,0.5324019815946422,39
Strategy_V6_5_PostTP1StopPlacement,Fib 0.786,0.786,SOL,4h,0.9,10,0.0025,C,144,0.5084995952585873,141,31.136789600967354,10000.0,29071.042861320504,1.9071042861320504,0.26553792719292457,19071.04286132052,22571.92836024628,2.0338293300359083,135.25562312993276,0.3892644302419996,0.8666123142016836,0.7092198581560284,375.18036293648566,-449.92666908117207,2.1508319823312227,0.784040816533296,2.4530873481167403,-0.10824642155395758,12.4822695035461,3500.8854989257597,700.1780306693422,0.2907801418439716,0.7021276595744681,0.6788321167883211,0.0364963503649635,0.30229557085655634,137,1.1902981569058082,0.3272641795210476,0.7092198581560284,0.14184397163120568,0.0425531914893617,0.014184397163120567,0.0070921985815602835,,0.32355822672542484,0.16968129693956988,0.139563510905107,0.018611894662017545,0.0,0.5318163099022607,40
Strategy_V6_5_PostTP1StopPlacement,Fib 0.860,0.86,SOL,4h,0.9,10,0.0025,C,144,0.5084995952585873,138,30.47430471584039,10000.0,15609.172127367896,0.5609172127367896,0.10325147768575227,5609.172127367903,7946.819171537132,1.4658866378948583,40.6461748359993,0.1696392095732897,0.438769673338267,0.7101449275362319,180.09133733481772,-300.99447328610586,0.9219366784826243,0.42538194662929263,0.5887272525036189,-0.1753808359417124,26.89855072463768,2337.6470441692295,467.5297454077596,0.2898550724637681,0.6956521739130435,0.6934306569343066,0.0072992700729927005,0.06274661774146997,137,0.5452114141070366,0.010164174614791577,0.7101449275362319,0.18115942028985507,0.07246376811594203,0.028985507246376812,0.014492753623188406,,0.05432081204637267,0.0749930415112275,0.09784595308106035,0.03529936606113048,0.0,0.529863188079399,41
Strategy_V6_5_PostTP1StopPlacement,Fib 0.870,0.87,SOL,1d,0.9,7,0.0025,C,125,0.5360028937917918,50,11.0480943738657,10000.0,12903.551150843214,0.2903551150843213,0.05790283423978493,2903.55115084321,3447.1966212280545,2.0185282408723078,58.0710230168642,0.2616513069810417,0.40644282628335493,0.78,147.5457243763655,-259.1574636213678,0.8964090496506117,0.45446648634558495,0.98471802331347,-0.05880143642029434,51.84,543.6454703848449,108.7292363139883,0.22,0.78,0.76,0.02,0.01394587978077531,50,0.15610882062458464,0.11611908158196615,0.78,0.2,0.12,0.0,0.0,,0.027740704273379803,0.07576291502518377,0.007993687149923108,0.018924789571951553,0.0,0.5082363823482234,42
Strategy_V6_5_PostTP1StopPlacement,Fib 0.786,0.786,XRP,4h,0.9,4,0.0025,C,338,0.1656234549000972,107,23.62862756952842,10000.0,16050.491200016026,0.6050491200016026,0.11006031760762647,6050.491200016025,8182.2541936104835,1.4768263116495741,56.546646729121726,0.23234178556860052,0.8418621676611873,0.6355140186915887,275.5820523260882,-325.3612399527687,1.121652960492445,0.30662671249720924,1.1854302193616233,-0.09284419766765861,11.700934579439252,2131.7629935944587,426.35294306313534,0.3644859813084112,0.616822429906542,0.5567010309278351,0.08247422680412371,0.17655282843038111,97,0.6221116448785622,-0.010518711785856727,0.6355140186915887,0.102803738317757,0.037383177570093455,0.018691588785046728,0.018691588785046728,,0.09705725062334238,0.16968129693956988,0.11197215233474303,0.03126419536874355,0.0,0.49030751795094335,43
